funcionario,regiao,localizacao,departamento,salario
Douglas,Americas,2011 Interiors Blvd,50,2600.0
Jennifer,Americas,2004 Charade Rd,10,4400.0
Michael,Americas,147 Spadina Ave,20,13000.0
Pat,Americas,147 Spadina Ave,20,6000.0
Susan,Europe,8204 Arthur St,40,6500.0
Hermann,Europe,Schwanthalerstr. 7031,70,10000.0
Shelley,Americas,2004 Charade Rd,110,12008.0
William,Americas,2004 Charade Rd,110,8300.0
Neena,Americas,2004 Charade Rd,90,17000.0
Lex,Americas,2004 Charade Rd,90,17000.0
Alexander,Americas,2014 Jabberwocky Rd,60,9000.0
Bruce,Americas,2014 Jabberwocky Rd,60,6000.0
David,Americas,2014 Jabberwocky Rd,60,4800.0
Valli,Americas,2014 Jabberwocky Rd,60,4800.0
Diana,Americas,2014 Jabberwocky Rd,60,4200.0
Nancy,Americas,2004 Charade Rd,100,12008.0
Daniel,Americas,2004 Charade Rd,100,9000.0
John,Americas,2004 Charade Rd,100,8200.0
Ismael,Americas,2004 Charade Rd,100,7700.0
Jose Manuel,Americas,2004 Charade Rd,100,7800.0
Luis,Americas,2004 Charade Rd,100,6900.0
Den,Americas,2004 Charade Rd,30,11000.0
Alexander,Americas,2004 Charade Rd,30,3100.0
Shelli,Americas,2004 Charade Rd,30,2900.0
Sigal,Americas,2004 Charade Rd,30,2800.0
Guy,Americas,2004 Charade Rd,30,2600.0
Karen,Americas,2004 Charade Rd,30,2500.0
Matthew,Americas,2011 Interiors Blvd,50,8000.0
Adam,Americas,2011 Interiors Blvd,50,8200.0
Payam,Americas,2011 Interiors Blvd,50,7900.0
Shanta,Americas,2011 Interiors Blvd,50,6500.0
Kevin,Americas,2011 Interiors Blvd,50,5800.0
Julia,Americas,2011 Interiors Blvd,50,3200.0
Irene,Americas,2011 Interiors Blvd,50,2700.0
James,Americas,2011 Interiors Blvd,50,2400.0
Steven,Americas,2011 Interiors Blvd,50,2200.0
Laura,Americas,2011 Interiors Blvd,50,3300.0
Mozhe,Americas,2011 Interiors Blvd,50,2800.0
James,Americas,2011 Interiors Blvd,50,2500.0
TJ,Americas,2011 Interiors Blvd,50,2100.0
Jason,Americas,2011 Interiors Blvd,50,3300.0
Michael,Americas,2011 Interiors Blvd,50,2900.0
Ki,Americas,2011 Interiors Blvd,50,2400.0
Hazel,Americas,2011 Interiors Blvd,50,2200.0
Renske,Americas,2011 Interiors Blvd,50,3600.0
Stephen,Americas,2011 Interiors Blvd,50,3200.0
John,Americas,2011 Interiors Blvd,50,2700.0
Joshua,Americas,2011 Interiors Blvd,50,2500.0
Trenna,Americas,2011 Interiors Blvd,50,3500.0
Curtis,Americas,2011 Interiors Blvd,50,3100.0
Randall,Americas,2011 Interiors Blvd,50,2600.0
Peter,Americas,2011 Interiors Blvd,50,2500.0
John,Europe,"Magdalen Centre, The Oxford Science Park",80,14000.0
Karen,Europe,"Magdalen Centre, The Oxford Science Park",80,13500.0
Alberto,Europe,"Magdalen Centre, The Oxford Science Park",80,12000.0
Gerald,Europe,"Magdalen Centre, The Oxford Science Park",80,11000.0
Eleni,Europe,"Magdalen Centre, The Oxford Science Park",80,10500.0
Sean,Europe,"Magdalen Centre, The Oxford Science Park",80,10000.0
David,Europe,"Magdalen Centre, The Oxford Science Park",80,9500.0
Peter,Europe,"Magdalen Centre, The Oxford Science Park",80,9000.0
Christopher,Europe,"Magdalen Centre, The Oxford Science Park",80,8000.0
Nanette,Europe,"Magdalen Centre, The Oxford Science Park",80,7500.0
Oliver,Europe,"Magdalen Centre, The Oxford Science Park",80,7000.0
Janette,Europe,"Magdalen Centre, The Oxford Science Park",80,10000.0
Patrick,Europe,"Magdalen Centre, The Oxford Science Park",80,9500.0
Allan,Europe,"Magdalen Centre, The Oxford Science Park",80,9000.0
Lindsey,Europe,"Magdalen Centre, The Oxford Science Park",80,8000.0
Louise,Europe,"Magdalen Centre, The Oxford Science Park",80,7500.0
Sarath,Europe,"Magdalen Centre, The Oxford Science Park",80,7000.0
Clara,Europe,"Magdalen Centre, The Oxford Science Park",80,10500.0
Danielle,Europe,"Magdalen Centre, The Oxford Science Park",80,9500.0
Mattea,Europe,"Magdalen Centre, The Oxford Science Park",80,7200.0
David,Europe,"Magdalen Centre, The Oxford Science Park",80,6800.0
Sundar,Europe,"Magdalen Centre, The Oxford Science Park",80,6400.0
Amit,Europe,"Magdalen Centre, The Oxford Science Park",80,6200.0
Lisa,Europe,"Magdalen Centre, The Oxford Science Park",80,11500.0
Harrison,Europe,"Magdalen Centre, The Oxford Science Park",80,10000.0
Tayler,Europe,"Magdalen Centre, The Oxford Science Park",80,9600.0
William,Europe,"Magdalen Centre, The Oxford Science Park",80,7400.0
Elizabeth,Europe,"Magdalen Centre, The Oxford Science Park",80,7300.0
Sundita,Europe,"Magdalen Centre, The Oxford Science Park",80,6100.0
Ellen,Europe,"Magdalen Centre, The Oxford Science Park",80,11000.0
Alyssa,Europe,"Magdalen Centre, The Oxford Science Park",80,8800.0
Jonathon,Europe,"Magdalen Centre, The Oxford Science Park",80,8600.0
Jack,Europe,"Magdalen Centre, The Oxford Science Park",80,8400.0
Charles,Europe,"Magdalen Centre, The Oxford Science Park",80,6200.0
Winston,Americas,2011 Interiors Blvd,50,3200.0
Jean,Americas,2011 Interiors Blvd,50,3100.0
Martha,Americas,2011 Interiors Blvd,50,2500.0
Girard,Americas,2011 Interiors Blvd,50,2800.0
Nandita,Americas,2011 Interiors Blvd,50,4200.0
Alexis,Americas,2011 Interiors Blvd,50,4100.0
Julia,Americas,2011 Interiors Blvd,50,3400.0
Anthony,Americas,2011 Interiors Blvd,50,3000.0
Kelly,Americas,2011 Interiors Blvd,50,3800.0
Jennifer,Americas,2011 Interiors Blvd,50,3600.0
Timothy,Americas,2011 Interiors Blvd,50,2900.0
Randall,Americas,2011 Interiors Blvd,50,2500.0
Sarah,Americas,2011 Interiors Blvd,50,4000.0
Britney,Americas,2011 Interiors Blvd,50,3900.0
Samuel,Americas,2011 Interiors Blvd,50,3200.0
Vance,Americas,2011 Interiors Blvd,50,2800.0
Alana,Americas,2011 Interiors Blvd,50,3100.0
Kevin,Americas,2011 Interiors Blvd,50,3000.0
Donald,Americas,2011 Interiors Blvd,50,2600.0
